    Jan-Mar_2022_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 157   3  133.00  -85.00        0.3809
 158   3  135.00  -85.00        0.3809
 159   3  137.00  -85.00        0.3809
 160   3  139.00  -85.00        0.3809
 161   3  141.00  -85.00        0.3809
 162   3  143.00  -85.00        0.3809
 163   3  145.00  -85.00        0.3809
 164   3  147.00  -85.00        0.3809
 165   3  149.00  -85.00        0.3809
 166   3  151.00  -85.00        0.3809
 167   3  153.00  -85.00        0.3809
 168   3  155.00  -85.00        0.3809
 169   3  157.00  -85.00        0.3809
 170   3  159.00  -85.00        0.3809
 171   3  161.00  -85.00        0.3809
 172   3  163.00  -85.00        0.3809
 173   3  165.00  -85.00        0.3809
 174   3  167.00  -85.00        0.3809
 175   3  169.00  -85.00        0.3809
 176   3  171.00  -85.00        0.3809
 177   3  173.00  -85.00        0.3809
 178   3  175.00  -85.00        0.3809
 179   3  177.00  -85.00        0.3809
 180   3  179.00  -85.00        0.3809
   1   4 -179.00  -83.00        0.3809
   2   4 -177.00  -83.00        0.3809
   3   4 -175.00  -83.00        0.3809
   4   4 -173.00  -83.00        0.3809
   5   4 -171.00  -83.00        0.3809
   6   4 -169.00  -83.00        0.3809
   7   4 -167.00  -83.00        0.3809
   8   4 -165.00  -83.00        0.3809
   9   4 -163.00  -83.00        0.3809
  10   4 -161.00  -83.00        0.3809
  11   4 -159.00  -83.00        0.3809
  12   4 -157.00  -83.00        0.3809
  13   4 -155.00  -83.00        0.3809
  14   4 -153.00  -83.00        0.3809
  15   4 -151.00  -83.00        0.3809
  16   4 -149.00  -83.00        0.3809
  17   4 -147.00  -83.00        0.3809
  18   4 -145.00  -83.00        0.3809
  19   4 -143.00  -83.00        0.3809
  20   4 -141.00  -83.00        0.3809
  21   4 -139.00  -83.00        0.3809
  22   4 -137.00  -83.00        0.3809
  23   4 -135.00  -83.00        0.3809
  24   4 -133.00  -83.00        0.3809
  25   4 -131.00  -83.00        0.3809
  26   4 -129.00  -83.00        0.3809
  27   4 -127.00  -83.00        0.3809
  28   4 -125.00  -83.00        0.3809
  29   4 -123.00  -83.00        0.3809
  30   4 -121.00  -83.00        0.3809
  31   4 -119.00  -83.00        0.3809
  32   4 -117.00  -83.00        0.3809
  33   4 -115.00  -83.00        0.3809
  34   4 -113.00  -83.00        0.3809
  35   4 -111.00  -83.00        0.3809
  36   4 -109.00  -83.00        0.3809
  37   4 -107.00  -83.00        0.3809
  38   4 -105.00  -83.00        0.3809
  39   4 -103.00  -83.00        0.3809
  40   4 -101.00  -83.00        0.3809
  41   4  -99.00  -83.00        0.3809
  42   4  -97.00  -83.00        0.3809
  43   4  -95.00  -83.00        0.3809
  44   4  -93.00  -83.00        0.3809
  45   4  -91.00  -83.00        0.3809
  46   4  -89.00  -83.00        0.3809
  47   4  -87.00  -83.00        0.3809
  48   4  -85.00  -83.00        0.3809
  49   4  -83.00  -83.00        0.3809
  50   4  -81.00  -83.00        0.3809
  51   4  -79.00  -83.00        0.3809
  52   4  -77.00  -83.00        0.3809
  53   4  -75.00  -83.00        0.3809
  54   4  -73.00  -83.00        0.3809
  55   4  -71.00  -83.00        0.3809
  56   4  -69.00  -83.00        0.3809
  57   4  -67.00  -83.00        0.3809
  58   4  -65.00  -83.00        0.3809
  59   4  -63.00  -83.00        0.3809
  60   4  -61.00  -83.00        0.3809
  61   4  -59.00  -83.00        0.3809
  62   4  -57.00  -83.00        0.3809
  63   4  -55.00  -83.00        0.3809
  64   4  -53.00  -83.00        0.3809
  65   4  -51.00  -83.00        0.3809
  66   4  -49.00  -83.00        0.3809
  67   4  -47.00  -83.00        0.3809
  68   4  -45.00  -83.00        0.3809
  69   4  -43.00  -83.00        0.3809
  70   4  -41.00  -83.00        0.3809
  71   4  -39.00  -83.00        0.3809
  72   4  -37.00  -83.00        0.3809
  73   4  -35.00  -83.00        0.3809
  74   4  -33.00  -83.00        0.3809
  75   4  -31.00  -83.00        0.3809
  76   4  -29.00  -83.00        0.3809
  77   4  -27.00  -83.00        0.3809
  78   4  -25.00  -83.00        0.3809
  79   4  -23.00  -83.00        0.3809
  80   4  -21.00  -83.00        0.3809
  81   4  -19.00  -83.00        0.3809
  82   4  -17.00  -83.00        0.3809
  83   4  -15.00  -83.00        0.3809
  84   4  -13.00  -83.00        0.3809
  85   4  -11.00  -83.00        0.3809
  86   4   -9.00  -83.00        0.3809
  87   4   -7.00  -83.00        0.3809
  88   4   -5.00  -83.00        0.3809
  89   4   -3.00  -83.00        0.3809
  90   4   -1.00  -83.00        0.3809
  91   4    1.00  -83.00        0.3809
  92   4    3.00  -83.00        0.3809
  93   4    5.00  -83.00        0.3809
  94   4    7.00  -83.00        0.3809
  95   4    9.00  -83.00        0.3809
  96   4   11.00  -83.00        0.3809
  97   4   13.00  -83.00        0.3809
  98   4   15.00  -83.00        0.3809
  99   4   17.00  -83.00        0.3809
 100   4   19.00  -83.00        0.3809
 101   4   21.00  -83.00        0.3809
 102   4   23.00  -83.00        0.3809
 103   4   25.00  -83.00        0.3809
 104   4   27.00  -83.00        0.3809
 105   4   29.00  -83.00        0.3809
 106   4   31.00  -83.00        0.3809
 107   4   33.00  -83.00        0.3809
 108   4   35.00  -83.00        0.3809
 109   4   37.00  -83.00        0.3809
 110   4   39.00  -83.00        0.3809
 111   4   41.00  -83.00        0.3809
 112   4   43.00  -83.00        0.3809
 113   4   45.00  -83.00        0.3809
 114   4   47.00  -83.00        0.3809
 115   4   49.00  -83.00        0.3809
 116   4   51.00  -83.00        0.3809
 117   4   53.00  -83.00        0.3809
 118   4   55.00  -83.00        0.3809
 119   4   57.00  -83.00        0.3809
 120   4   59.00  -83.00        0.3809
 121   4   61.00  -83.00        0.3809
 122   4   63.00  -83.00        0.3809
 123   4   65.00  -83.00        0.3809
 124   4   67.00  -83.00        0.3809
 125   4   69.00  -83.00        0.3809
 126   4   71.00  -83.00        0.3809
 127   4   73.00  -83.00        0.3809
 128   4   75.00  -83.00        0.3809
 129   4   77.00  -83.00        0.3809
 130   4   79.00  -83.00        0.3809
 131   4   81.00  -83.00        0.3809
 132   4   83.00  -83.00        0.3809
